State,Average_avg-Temp,Average-Min Temp,Average-max-temp,avg-precipitation,avg-windSpeed,pH,Clay,Sand,Silt,Crop Yield,Hectare
Plateau,21.25868229,15.48918227,27.02873966,107.7916667,2.258682289,5.833333333,29.5,43.16666667,25.83333333,2.60302342,1.686767501
Taraba,21.28797917,15.76514574,26.80944793,136.2708333,1.733291661,5.4,37.83333333,35.83333333,25,2.389935279,2.622656076
Plateau,21.34157292,16.42053654,27.24726049,103.3958333,2.258510398,6.2,27.5,44.5,29.33333333,2.60302342,1.686767501
Plateau,21.474099,15.81449493,27.12492713,111.1458333,2.23791144,5.3,30.83333333,43.66666667,23.83333333,2.60302342,1.686767501
Plateau,21.5231874,15.90060421,27.1399374,101.75,2.405010405,5.85,30,48.16666667,23.83333333,2.60302342,1.686767501
Plateau,21.53179157,15.69109893,27.37211974,105.3958333,2.370916645,5.466666667,33.16666667,49.66666667,20.5,2.60302342,1.686767501
Plateau,21.56016652,15.82073444,27.30018226,104.9583333,2.393869768,5.366666667,29.83333333,44.16666667,21,2.60302342,1.686767501
Plateau,21.56339061,16.36187498,26.76339571,114.7291667,2.219260397,5.683333333,29.66666667,49.5,19.83333333,2.60302342,1.686767501
Plateau,21.71631773,16.04355214,27.64286967,102.3958333,2.302666637,6.083333333,29.16666667,54.83333333,20.16666667,2.60302342,1.686767501
Plateau,21.85335426,16.16031273,27.55670301,108.6458334,2.350531231,5.283333333,33.66666667,42.16666667,23,2.60302342,1.686767501
Plateau,21.94283847,16.68546347,27.199224,99.125,2.417177081,5.566666667,36.5,35.5,27.33333333,2.60302342,1.686767501
Plateau,21.94518749,16.16320845,27.73622394,106.3958334,2.396031226,5.566666667,29.66666667,48.5,18.33333333,2.60302342,1.686767501
Plateau,21.98915637,16.47021359,27.50538544,96.625,2.340916669,5.95,25.83333333,49.83333333,24,2.60302342,1.686767501
Plateau,21.99170832,16.2565885,27.74903639,99.20833334,2.30756249,6.016666667,25.16666667,45.5,29.33333333,2.60302342,1.686767501
Plateau,22.08108338,16.16065109,27.91909898,100.2083333,2.308354152,5.95,29.66666667,41.33333333,31.33333333,2.60302342,1.686767501
Plateau,22.09131237,16.78138034,27.40109885,113.3125,2.256598942,5.566666667,27,51,18.5,2.60302342,1.686767501
Plateau,22.14585932,16.53411444,27.75961979,110.9583333,2.318468747,5.533333333,30.5,47.83333333,21.66666667,2.60302342,1.686767501
Plateau,22.15486463,16.48944273,27.82178128,96.95833334,2.316312497,5.9,27.33333333,54.16666667,22.66666667,2.60302342,1.686767501
Plateau,22.24570839,16.50720833,27.97997912,102.6458333,2.394864562,6.033333333,28.83333333,40.66666667,24.16666667,2.60302342,1.686767501
Plateau,22.25226029,16.92773962,27.57585947,97.58333333,2.281302077,5.916666667,27.16666667,54,24.16666667,2.60302342,1.686767501
Plateau,22.27722919,16.74914054,27.81194266,101.1458334,2.427177057,5.716666667,25.83333333,51.33333333,20.66666667,2.60302342,1.686767501
Plateau,22.4987603,17.2061563,27.79319274,97.62499999,2.281718736,6.183333333,28.16666667,48.83333333,25,2.60302342,1.686767501
Plateau,22.73695314,18.22093759,28.55608336,99.20833334,2.373875005,6.133333333,25.16666667,44.5,29.16666667,2.60302342,1.686767501
Plateau,22.7424531,17.83527096,28.52324995,99.3125,2.400458341,5.583333333,24.83333333,49.16666667,26.33333333,2.60302342,1.686767501
Plateau,22.78208848,17.60648426,27.95867181,115.8541667,2.159906231,5.75,29.33333333,45.83333333,19.83333333,2.60302342,1.686767501
Crossriver,22.91206769,18.36698945,27.4533281,167.5833333,1.659859377,5.683333333,28,45.66666667,21.33333333,5.487014333,0.567674981
Crossriver,22.91206769,18.36698945,27.4533281,167.5833333,1.659859377,5.683333333,28,45.66666667,21.33333333,5.487014333,0.567674981
Plateau,23.07544784,17.76368761,28.38984899,109.4375,2.160374992,6.216666667,27.5,52.5,22.33333333,2.60302342,1.686767501
Plateau,23.09839074,17.79834901,28.40203655,113.9791667,2.16989062,5.7,27.5,47.5,23.33333333,2.60302342,1.686767501
Plateau,23.27390631,17.98327607,28.57290097,96.375,2.400062499,5.766666667,26.66666667,45.33333333,22.66666667,2.60302342,1.686767501
Ekiti,24.03282365,19.49653669,28.62545319,109.1041667,1.735802077,5.983333333,21.83333333,63.5,12.83333333,0.814587883,0.455680466
Plateau,24.04079676,18.42681253,29.6488386,96.60416667,2.325812487,5.8,27.33333333,46.5,26.5,2.60302342,1.686767501
Ekiti,24.04633261,19.43723953,28.70462489,109.25,1.778390619,5.716666667,20.33333333,57,14,0.814587883,0.455680466
Ekiti,24.14727481,19.51141151,28.82271866,110.75,1.75557291,5.6,24.5,49.5,15.33333333,0.814587883,0.455680466
Ekiti,24.14935815,19.5322448,28.82271866,110.8125,1.749322911,6,23.5,58,16.16666667,0.814587883,0.455680466
Ekiti,24.18071945,19.66920837,28.74213533,114.3958334,1.675182298,5.966666667,23,54.33333333,17.33333333,0.814587883,0.455680466
Ekiti,24.19958764,19.42077605,29.02913551,110.4583334,1.750531242,5.966666667,23.5,58.33333333,15.5,0.814587883,0.455680466
Ekiti,24.19958764,19.42077605,29.02913551,110.4583334,1.750531242,5.966666667,23.5,58.33333333,15.5,0.814587883,0.455680466
Ekiti,24.21595435,19.71273959,28.76662505,108.7083334,1.749015619,5.466666667,27,52.66666667,17.66666667,0.814587883,0.455680466
Ekiti,24.22371709,19.51628658,28.9746145,111.0416667,1.74313541,6.016666667,24.16666667,53,16.83333333,0.814587883,0.455680466
Ekiti,24.22646701,19.55403658,28.95311459,111.6666667,1.719635417,5.933333333,26.83333333,55.5,16.16666667,0.814587883,0.455680466
Ekiti,24.24933294,19.8019584,28.74643219,115.7083333,1.646843751,5.883333333,22.16666667,57.66666667,14,0.814587883,0.455680466
Ekiti,24.286171,19.50463017,29.11059368,108.5833334,1.802093742,6.033333333,25.5,53.5,18.83333333,0.814587883,0.455680466
Ekiti,24.29106326,19.48908333,29.15098949,110.8333334,1.740244791,5.866666667,23.16666667,49.5,20,0.814587883,0.455680466
Ekiti,24.32050577,19.7854271,28.89589564,108.2291667,1.717765617,5.633333333,24,49.66666667,20,0.814587883,0.455680466
Ekiti,24.3282288,19.52006765,29.1843437,108.6666667,1.786781234,5.816666667,25.5,50.83333333,20.16666667,0.814587883,0.455680466
Ondo,24.34637487,19.80824999,28.89176571,108.8958333,1.711989579,5.85,18.66666667,48.83333333,21.66666667,1.332915091,0.830068966
Plateau,24.38540101,18.5236614,29.6788489,106.3958334,2.168390604,5.733333333,27,50.66666667,21.33333333,2.60302342,1.686767501
Ekiti,24.41040299,19.70831255,29.15051051,110.5,1.728473962,5.9,25.66666667,53.33333333,16.5,0.814587883,0.455680466
Ekiti,24.42441634,19.96562493,28.92859892,115.75,1.613843759,5.85,26.33333333,55.16666667,16.66666667,0.814587883,0.455680466
Ekiti,24.43314545,19.62698432,29.2898436,107.7916667,1.811614571,5.966666667,23.66666667,61,17.33333333,0.814587883,0.455680466
Ekiti,24.43470444,19.55656243,29.35934373,109.2916667,1.769411457,5.833333333,27,50.83333333,16.5,0.814587883,0.455680466
Ekiti,24.4433522,19.94895836,28.97918228,115.6041667,1.646302087,5.85,29.33333333,48,19.5,0.814587883,0.455680466
Ondo,24.44343225,19.98842704,28.89677072,112.7083333,1.609812501,6.15,20.66666667,63.33333333,13.16666667,1.332915091,0.830068966
Ekiti,24.46473648,19.74514596,29.22609377,109.6666667,1.746723945,5.866666667,28.33333333,54.16666667,16,0.814587883,0.455680466
Ekiti,24.4659544,19.58097907,29.3982606,109.0625,1.777578123,5.816666667,24,56.83333333,16,0.814587883,0.455680466
Kwara,24.48014589,19.519677,29.43831257,107.75,1.808437479,5.716666667,28.33333333,49.5,16.66666667,0.679907788,0.636513539
Ekiti,24.51204634,19.94512503,29.12723943,113.0208334,1.657057286,6.033333333,23,59.5,15.16666667,0.814587883,0.455680466
Ekiti,24.52463222,20.02366138,29.07857287,116.0625,1.616249989,6,25.83333333,53.16666667,17,0.814587883,0.455680466
Ekiti,24.5297648,20.02456769,29.08706252,109.8125,1.619536455,5.75,22.66666667,60.5,13.5,0.814587883,0.455680466
Kwara,24.54958332,19.72041154,29.36729165,107.6041667,1.761802075,5.65,26.83333333,48,17.33333333,0.679907788,0.636513539
Ondo,24.57423429,20.08150514,29.06914584,110.4375,1.603744792,5.55,23.5,54.83333333,15.33333333,1.332915091,0.830068966
Ekiti,24.59715304,19.93047909,29.31151036,109.3958333,1.723223957,6,20.5,56.33333333,15.66666667,0.814587883,0.455680466
Ekiti,24.59975796,19.98514581,29.26580211,110.375,1.729203128,6.066666667,23,58.66666667,15.83333333,0.814587883,0.455680466
Ekiti,24.6062776,20.11267193,29.14541678,108.9583334,1.66678646,5.683333333,22.5,55.16666667,17.16666667,0.814587883,0.455680466
Osun,24.60641162,19.92261986,29.2987084,109,1.734697911,5.833333333,24.83333333,49.5,17.5,0.569754096,0.435565409
Ondo,24.63795829,20.03724992,29.24359902,108.3541667,1.651239594,5.683333333,17.83333333,56.83333333,15.5,1.332915091,0.830068966
Ekiti,24.65227773,20.15325523,29.18941673,110.0416667,1.617369793,5.8,20.66666667,56.5,18,0.814587883,0.455680466
Ekiti,24.6571677,20.07008867,29.29217191,109.1875,1.691572924,5.883333333,20,58.5,15.66666667,0.814587883,0.455680466
Kwara,24.66020835,19.62294797,29.69889573,107.1041667,1.781708322,6.016666667,20.83333333,62.16666667,17,0.679907788,0.636513539
Ekiti,24.6718609,20.17315122,29.21238021,110.8125,1.614843741,5.766666667,21.16666667,58.66666667,14.33333333,0.814587883,0.455680466
Kwara,24.68687503,19.63378135,29.74197904,105.9375,1.857124994,5.933333333,17.5,63,16.16666667,0.679907788,0.636513539
Ekiti,24.69426202,20.05282808,29.38586446,110.125,1.688135416,5.416666667,27.5,54.66666667,14.33333333,0.814587883,0.455680466
Edo,24.70051567,20.31649478,29.09360945,114.1875,1.565406253,5.75,26.83333333,47.66666667,17.83333333,0.650346075,0.430650044
Plateau,24.70496341,18.98031251,30.42100529,96.77083333,2.315812479,6.566666667,25.66666667,54,24.83333333,2.60302342,1.686767501
Ekiti,24.72530324,20.21754686,29.26712509,110.1666667,1.598807285,5.516666667,25.33333333,56,14.33333333,0.814587883,0.455680466
Ondo,24.77223957,20.30049483,29.23989074,109.5,1.639593745,5.833333333,19.5,58.16666667,16.5,1.332915091,0.830068966
Ondo,24.77514589,20.1505208,29.39507814,110.0416667,1.627593743,5.966666667,14.83333333,56.83333333,16.83333333,1.332915091,0.830068966
Ondo,24.78098953,20.27399476,29.28739075,109.6875,1.600510418,6.033333333,21.83333333,60.5,15,1.332915091,0.830068966
Edo,24.79107813,20.40443226,29.17327086,111.4375,1.603208338,5.7,28,50,18.16666667,0.650346075,0.430650044
Ekiti,24.81087133,19.97756763,29.68299476,104.8125,1.756828114,5.75,20.5,54.83333333,18,0.814587883,0.455680466
Ondo,24.81720837,20.06977077,29.56701056,105.3125,1.661567706,5.833333333,17.66666667,55.16666667,18,1.332915091,0.830068966
Osun,24.83675011,19.9552449,29.71368762,108.1041667,1.681343747,6.05,21.16666667,61.33333333,14.66666667,0.569754096,0.435565409
Ekiti,24.836874,20.29308856,29.42592204,110.8125,1.60880208,5.783333333,21.16666667,56.5,16.5,0.814587883,0.455680466
Ondo,24.83807298,20.37316151,29.29511984,110.875,1.56232292,6.016666667,22.16666667,59,15,1.332915091,0.830068966
Ekiti,24.84969206,20.47280709,29.27457817,113.8541667,1.587869791,5.55,21.66666667,53,16.33333333,0.814587883,0.455680466
Ekiti,24.86835244,20.4198906,29.36578655,114.5,1.573369784,5.916666667,21.83333333,64.16666667,13.83333333,0.814587883,0.455680466
Ekiti,24.8801791,20.40562498,29.4024322,115.6875,1.57642708,6.1,24.16666667,52,19.66666667,0.814587883,0.455680466
Ekiti,24.88026061,20.42261986,29.38461459,116.5,1.565916658,6,22.33333333,59.16666667,14.16666667,0.814587883,0.455680466
Ondo,24.88901572,20.40034374,29.37756244,111.1666667,1.573749999,6.15,20,59.5,14.33333333,1.332915091,0.830068966
Plateau,24.8898594,19.87708855,29.90204684,119.6458333,2.038406243,5.483333333,27.16666667,46.33333333,24.83333333,2.60302342,1.686767501
Kwara,24.8938177,19.96817188,29.82209897,103.2916667,1.856796843,5.716666667,23.83333333,54.33333333,18.33333333,0.679907788,0.636513539
Ogun,24.89953641,20.18029173,29.62359897,109.9166667,1.670250001,5.866666667,23.83333333,57,15.33333333,0.63620519,0.588223796
Kwara,24.90151028,19.89318232,29.90685419,106.0208334,1.776713537,6.05,20.5,63,15.83333333,0.679907788,0.636513539
Osun,24.93818228,20.19591149,29.6812499,109.1875,1.665906243,6.05,23.66666667,57.83333333,17.33333333,0.569754096,0.435565409
Ekiti,24.94391942,20.28734903,29.6486042,109.1041667,1.683677072,5.95,24.83333333,54.83333333,17.5,0.814587883,0.455680466
Osun,24.96620309,20.23029169,29.71109891,109.3958333,1.693166663,5.533333333,26.66666667,54.33333333,16.66666667,0.569754096,0.435565409
Osun,24.97599475,20.60286975,29.35736986,118,1.568661456,5.683333333,25.33333333,50.66666667,17.66666667,0.569754096,0.435565409
Kwara,24.97954694,19.96619261,29.98793232,103.9166667,1.809859363,5.716666667,26,51.83333333,18.66666667,0.679907788,0.636513539
Edo,24.98115615,20.41100518,29.54935928,109.4375,1.586942718,5.95,21.5,62.16666667,14.66666667,0.650346075,0.430650044
Edo,24.98115615,20.41100518,29.54935928,109.4375,1.586942718,5.95,21.5,62.16666667,14.66666667,0.650346075,0.430650044
Osun,24.99721344,20.35807288,29.62289052,111.5416667,1.609625004,6.083333333,25.83333333,56.16666667,16.66666667,0.569754096,0.435565409
Osun,25.00371874,20.44911973,29.55263535,114.8541667,1.54960416,5.783333333,24.66666667,53,16.66666667,0.569754096,0.435565409
